區,確診數_mean,確診數_std,確診數_min,確診數_max,確診數_q25,確診數_q50,確診數_q75,確診數_pct_change_mean,確診數_pct_change_std,確診數_acf_lag1,確診數_acf_lag2,確診數_acf_lag3,確診數_trend_slope,確診數_seasonal_std,ovum_sum_mean,ovum_sum_std,ovum_sum_min,ovum_sum_max,ovum_sum_q25,ovum_sum_q50,ovum_sum_q75,ovum_sum_pct_change_mean,ovum_sum_pct_change_std,ovum_sum_acf_lag1,ovum_sum_acf_lag2,ovum_sum_acf_lag3,ovum_sum_trend_slope,ovum_sum_seasonal_std,週平均氣溫(℃)_x_mean,週平均氣溫(℃)_x_std,週平均氣溫(℃)_x_min,週平均氣溫(℃)_x_max,週平均氣溫(℃)_x_q25,週平均氣溫(℃)_x_q50,週平均氣溫(℃)_x_q75,週平均氣溫(℃)_x_pct_change_mean,週平均氣溫(℃)_x_pct_change_std,週平均氣溫(℃)_x_acf_lag1,週平均氣溫(℃)_x_acf_lag2,週平均氣溫(℃)_x_acf_lag3,週平均氣溫(℃)_x_trend_slope,週平均氣溫(℃)_x_seasonal_std,週平均氣溫(℃)_y_mean,週平均氣溫(℃)_y_std,週平均氣溫(℃)_y_min,週平均氣溫(℃)_y_max,週平均氣溫(℃)_y_q25,週平均氣溫(℃)_y_q50,週平均氣溫(℃)_y_q75,週平均氣溫(℃)_y_pct_change_mean,週平均氣溫(℃)_y_pct_change_std,週平均氣溫(℃)_y_acf_lag1,週平均氣溫(℃)_y_acf_lag2,週平均氣溫(℃)_y_acf_lag3,週平均氣溫(℃)_y_trend_slope,週平均氣溫(℃)_y_seasonal_std,週總降水量(mm)_x_mean,週總降水量(mm)_x_std,週總降水量(mm)_x_min,週總降水量(mm)_x_max,週總降水量(mm)_x_q25,週總降水量(mm)_x_q50,週總降水量(mm)_x_q75,週總降水量(mm)_x_pct_change_mean,週總降水量(mm)_x_pct_change_std,週總降水量(mm)_x_acf_lag1,週總降水量(mm)_x_acf_lag2,週總降水量(mm)_x_acf_lag3,週總降水量(mm)_x_trend_slope,週總降水量(mm)_x_seasonal_std,週總降水量(mm)_y_mean,週總降水量(mm)_y_std,週總降水量(mm)_y_min,週總降水量(mm)_y_max,週總降水量(mm)_y_q25,週總降水量(mm)_y_q50,週總降水量(mm)_y_q75,週總降水量(mm)_y_pct_change_mean,週總降水量(mm)_y_pct_change_std,週總降水量(mm)_y_acf_lag1,週總降水量(mm)_y_acf_lag2,週總降水量(mm)_y_acf_lag3,週總降水量(mm)_y_trend_slope,週總降水量(mm)_y_seasonal_std,噴藥次數_mean,噴藥次數_std,噴藥次數_min,噴藥次數_max,噴藥次數_q25,噴藥次數_q50,噴藥次數_q75,噴藥次數_pct_change_mean,噴藥次數_pct_change_std,噴藥次數_acf_lag1,噴藥次數_acf_lag2,噴藥次數_acf_lag3,噴藥次數_trend_slope,噴藥次數_seasonal_std
七股區,0.4339622641509434,0.9905211130872971,0.0,5.0,0.0,0.0,0.0,-0.1769230769230769,0.9782244511987405,0.3690898180194261,0.3065967958021659,0.4205090990286925,0.03233418367346939,0.1608054440679567,279.0,0.0,279.0,279.0,279.0,279.0,279.0,0.0,0.0,,,,-9.536966367480928e-16,0.0,25.122641509433965,4.358986804885616,15.0,30.63,21.7,26.51,28.76,0.004398699431799076,0.09108575884499731,0.8615389393760537,0.7681644462843032,0.7107854961879074,0.12696926020408156,0.38553528004553445,25.122452830188678,4.325246949668521,15.1,30.8,21.61,26.3,28.47,0.004245830373475705,0.08976426745164251,0.8607627585099714,0.7707190386007059,0.7097272595185727,0.11913494897959166,0.371267985592276,25.867924528301888,68.8669390748032,0.0,364.5,0.0,0.0,10.0,25.56462228042877,117.38749908683053,0.12031378176167733,0.21995642111524033,0.07115792186000953,0.7001147959183672,15.047670619394392,27.60377358490566,75.34161676162414,0.0,415.0,0.0,0.0,16.0,6.872329995573102,26.846935650470176,0.06471950601815431,0.17201970056151497,0.0978262936414179,0.7303762755102039,16.060065108520114,5.0,0.0,5,5,5.0,5.0,5.0,0.0,0.0,,,,-3.765976790725078e-17,0.0
下營區,0.22641509433962265,0.5054133660055007,0.0,2.0,0.0,0.0,0.0,-0.3,0.6749485577105528,0.3185838336192111,0.31472448542024023,0.46143331903945123,0.01795918367346939,0.08259037645336617,279.0,0.0,279.0,279.0,279.0,279.0,279.0,0.0,0.0,,,,-9.536966367480928e-16,0.0,25.122641509433965,4.358986804885616,15.0,30.63,21.7,26.51,28.76,0.004398699431799076,0.09108575884499731,0.8615389393760537,0.7681644462843032,0.7107854961879074,0.12696926020408156,0.38553528004553445,25.122452830188678,4.325246949668521,15.1,30.8,21.61,26.3,28.47,0.004245830373475705,0.08976426745164251,0.8607627585099714,0.7707190386007059,0.7097272595185727,0.11913494897959166,0.371267985592276,25.867924528301888,68.8669390748032,0.0,364.5,0.0,0.0,10.0,25.56462228042877,117.38749908683053,0.12031378176167733,0.21995642111524033,0.07115792186000953,0.7001147959183672,15.047670619394392,27.60377358490566,75.34161676162414,0.0,415.0,0.0,0.0,16.0,6.872329995573102,26.846935650470176,0.06471950601815431,0.17201970056151497,0.0978262936414179,0.7303762755102039,16.060065108520114,2.0,0.0,2,2,2.0,2.0,2.0,0.0,0.0,,,,-9.285528444050123e-18,0.0
中西區,30.0,51.843329071644014,0.0,189.0,0.0,0.0,29.0,0.06825945550460809,0.6908943559379893,0.9521329116641147,0.8779782773572216,0.7669323564345101,2.1925255102040815,1.4535329939962642,1874.0377358490566,1639.9348012633839,256.0,8151.0,726.0,1432.0,2411.0,0.21159642757424593,0.8804084373146993,0.5843106057985331,0.5572414922959611,0.3680614356591663,39.88201530612244,444.2974251561353,25.122641509433965,4.358986804885616,15.0,30.63,21.7,26.51,28.76,0.004398699431799076,0.09108575884499731,0.8615389393760537,0.7681644462843032,0.7107854961879074,0.12696926020408156,0.38553528004553445,25.122452830188678,4.325246949668521,15.1,30.8,21.61,26.3,28.47,0.004245830373475705,0.08976426745164251,0.8607627585099714,0.7707190386007059,0.7097272595185727,0.11913494897959166,0.371267985592276,25.867924528301888,68.8669390748032,0.0,364.5,0.0,0.0,10.0,25.56462228042877,117.38749908683053,0.12031378176167733,0.21995642111524033,0.07115792186000953,0.7001147959183672,15.047670619394392,27.60377358490566,75.34161676162414,0.0,415.0,0.0,0.0,16.0,6.872329995573102,26.846935650470176,0.06471950601815431,0.17201970056151497,0.0978262936414179,0.7303762755102039,16.060065108520114,363.0,0.0,363,363,363.0,363.0,363.0,0.0,0.0,,,,-1.9668067506543675e-15,0.0
仁德區,15.566037735849056,18.6109039936293,0.0,60.0,0.0,4.0,28.0,0.1895991372526811,1.1959476188470668,0.8424685715116998,0.7502064121500558,0.6369644333068368,0.8468239795918366,2.0949508048721506,1472.566037735849,1344.2469654825331,135.0,5614.0,425.0,1072.0,2048.0,0.21661019840481585,0.8187551703167661,0.7239796975938412,0.5686304096703766,0.5652738140759028,50.13179846938775,207.6159190546539,25.122641509433965,4.358986804885616,15.0,30.63,21.7,26.51,28.76,0.004398699431799076,0.09108575884499731,0.8615389393760537,0.7681644462843032,0.7107854961879074,0.12696926020408156,0.38553528004553445,25.122452830188678,4.325246949668521,15.1,30.8,21.61,26.3,28.47,0.004245830373475705,0.08976426745164251,0.8607627585099714,0.7707190386007059,0.7097272595185727,0.11913494897959166,0.371267985592276,25.867924528301888,68.8669390748032,0.0,364.5,0.0,0.0,10.0,25.56462228042877,117.38749908683053,0.12031378176167733,0.21995642111524033,0.07115792186000953,0.7001147959183672,15.047670619394392,27.60377358490566,75.34161676162414,0.0,415.0,0.0,0.0,16.0,6.872329995573102,26.846935650470176,0.06471950601815431,0.17201970056151497,0.0978262936414179,0.7303762755102039,16.060065108520114,92.0,0.0,92,92,92.0,92.0,92.0,0.0,0.0,,,,-2.4127920704344877e-16,0.0
佳里區,3.509433962264151,6.798253852473481,0.0,29.0,0.0,0.0,4.0,0.19678932010067912,1.153880132839842,0.7982699909165191,0.6090309531611167,0.530679708641276,0.3055102040816327,0.9164672065877718,395.0,0.0,395.0,395.0,395.0,395.0,395.0,0.0,0.0,,,,2.769538229751378e-15,0.0,25.122641509433965,4.358986804885616,15.0,30.63,21.7,26.51,28.76,0.004398699431799076,0.09108575884499731,0.8615389393760537,0.7681644462843032,0.7107854961879074,0.12696926020408156,0.38553528004553445,25.122452830188678,4.325246949668521,15.1,30.8,21.61,26.3,28.47,0.004245830373475705,0.08976426745164251,0.8607627585099714,0.7707190386007059,0.7097272595185727,0.11913494897959166,0.371267985592276,25.867924528301888,68.8669390748032,0.0,364.5,0.0,0.0,10.0,25.56462228042877,117.38749908683053,0.12031378176167733,0.21995642111524033,0.07115792186000953,0.7001147959183672,15.047670619394392,27.60377358490566,75.34161676162414,0.0,415.0,0.0,0.0,16.0,6.872329995573102,26.846935650470176,0.06471950601815431,0.17201970056151497,0.0978262936414179,0.7303762755102039,16.060065108520114,40.0,0.0,40,40,40.0,40.0,40.0,0.0,0.0,,,,-3.0127814325800626e-16,0.0
六甲區,0.09433962264150944,0.2950978288503027,0.0,1.0,0.0,0.0,0.0,-0.8,0.4472135954999579,0.11470125786163522,-0.10809748427672956,0.1107704402515723,0.007448979591836735,0.035977474872826355,395.0,0.0,395.0,395.0,395.0,395.0,395.0,0.0,0.0,,,,2.769538229751378e-15,0.0,25.122641509433965,4.358986804885616,15.0,30.63,21.7,26.51,28.76,0.004398699431799076,0.09108575884499731,0.8615389393760537,0.7681644462843032,0.7107854961879074,0.12696926020408156,0.38553528004553445,25.122452830188678,4.325246949668521,15.1,30.8,21.61,26.3,28.47,0.004245830373475705,0.08976426745164251,0.8607627585099714,0.7707190386007059,0.7097272595185727,0.11913494897959166,0.371267985592276,25.867924528301888,68.8669390748032,0.0,364.5,0.0,0.0,10.0,25.56462228042877,117.38749908683053,0.12031378176167733,0.21995642111524033,0.07115792186000953,0.7001147959183672,15.047670619394392,27.60377358490566,75.34161676162414,0.0,415.0,0.0,0.0,16.0,6.872329995573102,26.846935650470176,0.06471950601815431,0.17201970056151497,0.0978262936414179,0.7303762755102039,16.060065108520114,1.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,,,,-4.6427642220250615e-18,0.0
北區,55.113207547169814,91.25042895101676,0.0,334.0,0.0,2.0,79.0,0.06254153882079123,0.8465846950913629,0.9473694877430904,0.8772421079728717,0.7854350529755268,3.96579081632653,2.523361262161302,2460.1132075471696,1979.2745724359308,66.0,8040.0,863.0,2029.0,3486.0,0.16445948202141097,0.9011194190981657,0.6142641278202585,0.5025945998533747,0.4505084873110609,38.050497448979584,394.8685299321057,25.122641509433965,4.358986804885616,15.0,30.63,21.7,26.51,28.76,0.004398699431799076,0.09108575884499731,0.8615389393760537,0.7681644462843032,0.7107854961879074,0.12696926020408156,0.38553528004553445,25.122452830188678,4.325246949668521,15.1,30.8,21.61,26.3,28.47,0.004245830373475705,0.08976426745164251,0.8607627585099714,0.7707190386007059,0.7097272595185727,0.11913494897959166,0.371267985592276,25.867924528301888,68.8669390748032,0.0,364.5,0.0,0.0,10.0,25.56462228042877,117.38749908683053,0.12031378176167733,0.21995642111524033,0.07115792186000953,0.7001147959183672,15.047670619394392,27.60377358490566,75.34161676162414,0.0,415.0,0.0,0.0,16.0,6.872329995573102,26.846935650470176,0.06471950601815431,0.17201970056151497,0.0978262936414179,0.7303762755102039,16.060065108520114,418.0,0.0,418,418,418.0,418.0,418.0,0.0,0.0,,,,-4.916356447147334e-15,0.0
北門區,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,558.0,0.0,558.0,558.0,558.0,558.0,558.0,0.0,0.0,,,,-1.9073932734961856e-15,0.0,25.122641509433965,4.358986804885616,15.0,30.63,21.7,26.51,28.76,0.004398699431799076,0.09108575884499731,0.8615389393760537,0.7681644462843032,0.7107854961879074,0.12696926020408156,0.38553528004553445,25.122452830188678,4.325246949668521,15.1,30.8,21.61,26.3,28.47,0.004245830373475705,0.08976426745164251,0.8607627585099714,0.7707190386007059,0.7097272595185727,0.11913494897959166,0.371267985592276,25.867924528301888,68.8669390748032,0.0,364.5,0.0,0.0,10.0,25.56462228042877,117.38749908683053,0.12031378176167733,0.21995642111524033,0.07115792186000953,0.7001147959183672,15.047670619394392,27.60377358490566,75.34161676162414,0.0,415.0,0.0,0.0,16.0,6.872329995573102,26.846935650470176,0.06471950601815431,0.17201970056151497,0.0978262936414179,0.7303762755102039,16.060065108520114,1.0,0.0,1,1,1.0,1.0,1.0,0.0,0.0,,,,-4.6427642220250615e-18,0.0
南化區,0.1320754716981132,0.3418128057789596,0.0,1.0,0.0,0.0,0.0,-0.5714285714285714,0.5345224838248488,0.33874370092581746,-0.15791632485643972,0.003808742529005022,0.00979591836734694,0.06950435000661709,558.0,0.0,558.0,558.0,558.0,558.0,558.0,0.0,0.0,,,,-1.9073932734961856e-15,0.0,25.122641509433965,4.358986804885616,15.0,30.63,21.7,26.51,28.76,0.004398699431799076,0.09108575884499731,0.8615389393760537,0.7681644462843032,0.7107854961879074,0.12696926020408156,0.38553528004553445,25.122452830188678,4.325246949668521,15.1,30.8,21.61,26.3,28.47,0.004245830373475705,0.08976426745164251,0.8607627585099714,0.7707190386007059,0.7097272595185727,0.11913494897959166,0.371267985592276,25.867924528301888,68.8669390748032,0.0,364.5,0.0,0.0,10.0,25.56462228042877,117.38749908683053,0.12031378176167733,0.21995642111524033,0.07115792186000953,0.7001147959183672,15.047670619394392,27.60377358490566,75.34161676162414,0.0,415.0,0.0,0.0,16.0,6.872329995573102,26.846935650470176,0.06471950601815431,0.17201970056151497,0.0978262936414179,0.7303762755102039,16.060065108520114,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
南區,57.58490566037736,102.92966866193787,0.0,437.0,0.0,1.0,61.0,0.20338049697448213,0.8532420211062872,0.9270162163165618,0.8424669707503025,0.743911794465987,3.9527168367346937,3.76326623191851,3543.7735849056603,2917.9629198460552,303.0,12562.0,1428.0,2313.0,5196.0,0.2269229690204741,1.199380451135912,0.5690787664738763,0.4458151291960277,0.4310304866154799,63.28276785714284,592.6937781857414,25.122641509433965,4.358986804885616,15.0,30.63,21.7,26.51,28.76,0.004398699431799076,0.09108575884499731,0.8615389393760537,0.7681644462843032,0.7107854961879074,0.12696926020408156,0.38553528004553445,25.122452830188678,4.325246949668521,15.1,30.8,21.61,26.3,28.47,0.004245830373475705,0.08976426745164251,0.8607627585099714,0.7707190386007059,0.7097272595185727,0.11913494897959166,0.371267985592276,25.867924528301888,68.8669390748032,0.0,364.5,0.0,0.0,10.0,25.56462228042877,117.38749908683053,0.12031378176167733,0.21995642111524033,0.07115792186000953,0.7001147959183672,15.047670619394392,27.60377358490566,75.34161676162414,0.0,415.0,0.0,0.0,16.0,6.872329995573102,26.846935650470176,0.06471950601815431,0.17201970056151497,0.0978262936414179,0.7303762755102039,16.060065108520114,393.0,0.0,393,393,393.0,393.0,393.0,0.0,0.0,,,,-2.870004803940234e-15,0.0
